ASIN,Product,Category,Price,URL,Reviews URL,Stars,Reviews
‎B07H2RR55Q,"Seagate ST2000DM008 BarraCuda Internal Hard Drive HDD, 2TB, 3.5 Inch",Storage,S$98.00,https://www.amazon.sg/Seagate-ST2000DM008-BarraCuda-Internal-Drive/dp/B07H2RR55Q/ref=sr_1_1?qid=1695821467&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-1,https://www.amazon.sg/Seagate-ST2000DM008-BarraCuda-Internal-Drive/product-reviews/B07H2RR55Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.7,"['is a good hdd.... works well for my pc', 'Cheaper than other places.So far works well', ""Item arrived in good and proper packaging to prevent from damaging while transporting the hard disk. Install the hard disk with the require software and it works. I'm happy with the product."", 'yea it works. just a tad bit noisier than i expected but uh reading and writing wise its not the best not the worst. its a hdd.', ""Installation was quick and fuss-free using Seagate's diskwizard!Just select installation option icon and let the software do the rest!Fast boot-up! Highly recommended drive!"", 'It is an excellent product and price is reasonable and it is a reliable product.', 'Connected it to my desktop, downloaded Seagate DiscWizard to set it up. Works as intended, quite worth for 2tb.', 'Working fine and the delivery is fast', ""Buy at your own risk. Expired HDD means it had been registered before.That means it's pre-owned.Pre-owned sold as New harddisk.Lesson learnt. Never buy from online sellers.Get it from those brick and mortar shops."", 'Good and cheap with good amount of storage']"
‎B07H289S7C,Seagate ST8000DMZ04/DM004 BarraCuda Internal Hard Drive 8TB SATA 6Gb/s 256MB Cache 3.5-Inch - Frustration Free Packaging (ST8000DM004),Storage,S$193.07,https://www.amazon.sg/Seagate-ST8000DMZ04-BarraCuda-Internal-3-5-Inch/dp/B07H289S7C/ref=sr_1_2?qid=1695821467&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-2,https://www.amazon.sg/Seagate-ST8000DMZ04-BarraCuda-Internal-3-5-Inch/product-reviews/B07H289S7C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.6,"['Fast transfer speed in copying files. Quiet drive and easy to install and format to 8TB. Delivery come in a protected box which is nice.', 'Very affordable backup storage.  Large capacity and reliable', ""Actual date of manufacturing is sometime in 2021 which is not 3 years .. I don't know what's up with that.Packaging was alright and installation was straight forward.Edit: After using 30% capacity, the write speeds have dropped significantly. Downloading stuff on it has become tedious. I'd recommend paying more and get a CMR drive if you are intro using this as a media consumption device and active storage. 256MB cache quickly becomes useless when streaming large content or media."", 'Very fast delivery.  Well packed.However the HDD is not as fast as my old one.', ""I was a bit worried when the HDD arrived and the box was dented (signs of 'mishandling'). Did a validation (unRAID preclear) which ran over 49hours to test each sector of the hardisk and I am glad that it pass 100%!Note: Got this at a very good price but remember this is SMR disk. It fits my purpose for archiving data. IF you are using this as a NAS (e.g. in synology NAS) you are better off looking for a CMR disk (google the difference). Putting this disk for RAID purpose will be a disaster! Take note."", 'The item quality is ok packing well also but the thing that i dk is the hhd without the back cover is usual or not? Can help me find out tq.', 'No fuss, no issues. The delivery was fast and packaging was good.HDD works as described. Mainly used for storing family videos which tend to be 20GB per tape so it slowly adds up. Using a HDD docking station for this and it works well with that as well. This 8TB HDD will help', 'Fast delivery and well packed. Started using it once it arrived last week. So far so good, Satisfactory,', 'I installed this into a low usage NAS (<100GB a month) in a RAID array...and it did not last.I have used other standard HDD from WD and they lasted 5 years on average.Will be getting NAS disks to replace it.', 'works well with good data speed']"
‎B09NHV3CK9,"Seagate IronWolf 4TB NAS Internal Hard Drive HDD – CMR 3.5 Inch SATA 6Gb/s 5400 RPM 64MB Cache for RAID Network Attached Storage, Rescue Services – Frustration Free Packaging (ST4000VNZ06)",Storage,S$126.23,https://www.amazon.sg/Seagate-IronWolf-Internal-Hard-Drive/dp/B09NHV3CK9/ref=sr_1_3?qid=1695821467&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-3,https://www.amazon.sg/Seagate-IronWolf-Internal-Hard-Drive/product-reviews/B09NHV3CK9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.7,"['What more can I say.. works as expected. Good packaging.', ""This review is for the Seagate IronWolf 4Tb model. Amazon groups reviews for drives of varying capacities for the same model family  together, so hence the clarification.My first experience of a Seagate internal drive was when I purchased the 8Tb Ironwolf a couple months back (See my review here on Amazon). Since then, the drive has functioned perfectly. That drive is being used in my NAS and since the review of that drive, I have upgraded my 13 year old NAS to a new unit.However, i recently reached a point where I was running low on space on my existing 4 WD Red 4Tb drives, so wanted to add another WD Red 40EFRX model. Searching Amazon and other resellers, I couldn't find this exact model available any more, since being replaced by the WD Red Plus 40EFZX. I wanted matched drives, despite my new NAS using a RAID implementation not demanding this. However, being perhaps old fashioned, I really wanted identical drives.What to do?Well, I could add value to my old NAS by installing the 4 WD Red's I have and sell it. With that goal in mind, I looked to replace the WD's with new 4Tb Ironwolf's. Having been impressed with the 8Tb Ironwolf I have as a stand alone drive in my NAS, I was further tempted by the 20% cheaper 4Tb Ironwolf's compared to the WD Red Plus equivalents, no mean saving when looking to purchase 5 of them!Amazon was selling the Seagate Ironwolf's for just £80 at the time of purchase. This was just too good a deal to ignore, so I purchased 3 of them. Oddly, and something I've never encountered before, Amazon was restricting my purchase to a maximum of just 3. There appeared no stock limitations to account for this, though. That put me in a pickle, but thankfully the wife had her own Amazon account and so I was able to obtain the remaining couple of drives at the aforementioned excellent price.So, how do these compare to my old WD's?Before that, a word on packaging. I've read a few reviews on Amazon complaining about how Amazon ship drives. Be assured that all 5 of the drives ordered, as well as the 8Tb one a couple of months back, all arrived in robust boxes.Perhaps the most surprising thing about these 4Tb Ironwolf's is their size. They are noticeably smaller and lighter than my old WD's. The casing appears slimmer, especially towards the connector end of the drive. They still conform to standards, so will fit into systems, but I'd never seen a drive so noticeably different in its size before. The WD drives definitely feel heavier and more solid, but they are 5 years old, so perhaps use more platters to achieve the same capacity, I'm not sure.I haven't benchmarked these drives, but I understand these Ironwolf's are faster than their WD counterparts and are, of course, all CMR type drives. They also boast an impressive cache size for such a relatively low capacity drive at 256Mb. The newest WD equivalent offers half of that, The Ironwolf also runs around 20MB/sec faster transfer rate at around 200 Megabytes/sec compared to my older WD's.These 5 new drives have all gone through many hours of cloning functions as I sequentially replaced each WD in my array with a new Ironwolf and then an 18.5 hours RAID expansion when adding the fifth drive. All has gone well.These drives run cool and quiet, although they are still noisier than my old WD's. I can hear the seek on these where I was unable to hear anything on the WD's I had before. Nothing major at all, but noteworthy all the same. On a slight tangent, when discussing noise levels, the 8Tb Ironwolf I do have ticks away when idle. It makes a click sound about every 6 seconds or so, so that may bother those seeking a higher capacity model in quiet environments. However, this characteristic is shared with my external 14Tb WD Elements drive, so I believe this clicking is a function of higher capacity drives. The 4Tb drives reviewed here do not exhibit such clicking sounds when idle an spinning.My new NAS now uses a pair of 120mm fans as opposed to the single on the old NAS. This appears to keep drive temperatures nice and low, even the 8Tb 7,200rpm Iron Wolf I was slightly concerned about when running in my old NAS, the temperature differential so far being only an extra 2 or 3C over the  5,400rpm Ironwolfs in the new NAS.For those like me installing these 4Tb Ironwolf's into their Synology NAS's, a word of warning. On my DSM 7.1 system, these new 4Tb Ironwolf's(Model: ST4000VNZ06) appear not to have the Seagate Ironwolf health Management feature available to DSM. The 8Tb IronWolf I have has this feature show up fine in DSM 7.1. As far as I know, IHM (IronWolf Health management) is a feature of all IronWolf drives, but I may be wrong on that front. Either way, if this model does come with that feature, Synology's DSM 7.1 currently cannot recognize it, so you will be limited to only an S.M.A.R.T test option on those.Other than that, those Seagate IronWolf 4Tb drives still offer excellent value for money and, so far, the 5 I have are working fine. As on my 8Tb review, I will update this one should any of the drives fail within, or soon after, the 3 year warranty period.In summary, these 4Tb IronWolf drives offer exceptional value for money along with excellent performance. At current prices, they are a tempting option for those wanting a desktop hard drive in the form of the WD Blue or Seagate Barracuda ranges. You will get superior performance and better reliability with these over their desktop counterparts."", 'El Seagate IronWolf es un disco duro diseñado específicamente para sistemas NAS (Network Attached Storage) y ha demostrado ser una opción confiable y de gran capacidad. Este disco ofrece un rendimiento excepcional y una amplia gama de características que lo hacen ideal para entornos de almacenamiento en red.Con una capacidad de 4 TB, el IronWolf proporciona un amplio espacio para almacenar una gran cantidad de datos, ya sea para uso doméstico o empresarial. Esto lo convierte en una opción excelente para aquellos que necesitan almacenar y acceder a grandes volúmenes de archivos, como documentos, fotos, videos o archivos multimedia.La confiabilidad es una característica clave del IronWolf. Está diseñado para funcionar las 24 horas del día, los 7 días de la semana, lo que lo hace ideal para sistemas NAS que necesitan estar siempre en funcionamiento. Además, cuenta con tecnología de sensores de vibración rotacional (RV) que ayuda a mantener un rendimiento óptimo y una mayor durabilidad, incluso en entornos de múltiples unidades.La compatibilidad con sistemas NAS de múltiples bahías y la capacidad de manejar cargas de trabajo pesadas hacen que el IronWolf sea una elección sólida para aquellos que buscan un almacenamiento confiable y de alto rendimiento. Además, cuenta con características avanzadas como el control de recuperación de errores y el monitoreo de salud del disco, que ayudan a garantizar la integridad de los datos almacenados.En resumen, el Seagate IronWolf es un disco duro NAS confiable y de gran capacidad que ofrece un rendimiento excepcional y características avanzadas. Si buscas un almacenamiento seguro y eficiente para tu sistema NAS, el IronWolf es una opción que no te defraudará.', ""I've been running four of the 4TB drives in a NAS for about a month now. So far so good.My most pleasant surprise was just how quiet they are. I can have them running at full tilt and it's like they're not even on. I previously used some of the refurbished enterprise drives that are ~$10/TB, which I could hear those clicking and banging through the wall. I thought that's just how HDDs all sound, but it turns out a bit of extra $ can really reduce the noise."", 'Ich habe 2 dieser Platten im Raid1 Verbund in einer Synology DS223j laufen, absolut keine Probleme, der Geräuschpegel ist auch erträglich, im Gegensatz zu einer etwas älteren, normalen Rechnerfestplatte, die ich vorab mal testweise verbaut hatte. Die Platten waren nagelneu, das ""Z"" in der Artikelnummer weist lediglich darauf hin, daß die Platten extra für Amazon verpackt wurden, es dürfte sich also um das offizielle Modell ST4000VN006 mit 256MB Cache handeln. Wie lange die Platten halten, wird sich zeigen, die Synology geht nach 10min in den Festplatten-Ruhezustand (endlich zuverlässig), da ich meist nur 1-2 Zugriffe/24h auf die Synology habe, da braucht sie nicht dauerhaft laufen, auch wenn es extra NAS-Festplatten sind.', 'Ich habe bei mir zuhause eine Synology NAS im Einsatz.Diese hatte bisher nur WD RED Platten drin.Da diese leider aber immer mehr ausfallen, bin ich auch diese hier umgestiegen.Bisher läuft alles super.', 'These disks are great, super reliable with long operating hours, have several synology nas’s as find these perform really well.', ""These drives work great in my Synology NAS, and the price was too good to pass up. The problem is that the drive was shipped sans the usual protective case. It was rattling around with other items in the box in only its static wrapper. I have yet to install this drive, so I do not yet know if it is damaged, but as a general rule, hard drives should never be shipped this way. I'm all for less packaging, just not for fragile items like hard drives."", ""I know they're in the options out here for net work attached storage drives however, I went with these based on the reviews and recommendation, and they are working fine so far for me"", 'Muy satisfecho con el disco']"
‎B084ZTSMWF,Seagate IronWolf 12TB NAS Internal Hard Drive HDD – 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage – Frustration Free Packaging (ST12000VN0008),Storage,S$467.94,https://www.amazon.sg/Seagate-IronWolf-12TB-Internal-Drive/dp/B084ZTSMWF/ref=sr_1_4?qid=1695821467&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-4,https://www.amazon.sg/Seagate-IronWolf-12TB-Internal-Drive/product-reviews/B084ZTSMWF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.6,"['The unit was dead on arrival. Fortunately I know how to do a RMA with Seagate and already got the replacement drive.', 'Got two 12TB on good price. Packaging is still quite sturdy. First time cannot detect the full capacity. But tried on different PC and managed to have the correct disk space.', 'Item received and working in good condition.', 'Does the job but runs a bit hot.', 'Ordered 2 units but shipped separately with 2 different labels. Hope they are the same!', 'Smooth and quiet.', 'meant to add 4TB disk to my storage system, but I saw this 8TB has discount, and wanted to give it a try. However, I forgot it is 7200RPM, the sound is louder than 5400RPM. other than noise, no issue.', 'This hard drive offers a good capacity storage at a reasonable price.  Works well.', 'The 6 tb ironwolf disks were the best value per TB at the moment and I snapped up 4 of them for my new NAS. Unfortunately, 1 of them were dead on arrival, being unable to be recognized by both the NAS and USB SATA adaptor. I could choose to either RMA with Seagate locally here in Singapore (in which case I may get a refurbished product) or return the defective disk to Amazon by shipping it back. I chose the latter because I paid full price for a new disk. Luckily Amazon made the return process very simple with a next day pickup at the door. Kudos to that!', ""I use this 4 TB Seagate HDD for my data backup. It's good value to money that I can get with a 3 years warranty.""]"
‎B07H2GY8ZV,"Seagate ST2000VNZ04/VN004 Internal SATA Hard Drive, 2TB 6Gb/s 3.5-Inch",Storage,S$129.23,https://www.amazon.sg/Seagate-ST2000VNZ04-VN004-Internal-3-5-Inch/dp/B07H2GY8ZV/ref=sr_1_5?qid=1695821467&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-5,https://www.amazon.sg/Seagate-ST2000VNZ04-VN004-Internal-3-5-Inch/product-reviews/B07H2GY8ZV/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.7,"[""I hope it can last more than 10 years as my Western Digital drive has bad sectors that can't be saved. It was recommended for use by Synology NAS."", 'I ordered 2 pieces and one was dead on arrival. The seller shipped a replacement and everything is now up and running as it should.', 'I was a bit worried if this HDD will be damaged when arrived as handlers then to be very rough. Noticed that this individual HDD was packaged very well, no external damage to the packaging. Install this inside my Synology NAS. No issues on setup. Works well.', 'Work like a charm', 'Works well, fast delivery and good packaging.', 'Comes in a plain box. Popped it into a OWC Mercury Elite RE Pro enclosure, formatted in Ex-Fat into 4 partitions. Works like a charm! (Needs original enclosure cables. If not runs at about 40MB/s). Happy purchase.', 'It is a little noisy and speed is so so. But solid performance.', 'It was nicely packed. & shipped on time. Set it up for my NAS station. Been using it for a week with no issue.', 'Good performance at a great price', 'Managed to get one during sale, making it less than 3 cents/GB, or half the local price. That also makes it even cheaper than the non pro version so that was really a steal. It came in a neatly packed reduced packaging box. Checked on Seagate and it shows local warranty so it was really a good buy.']"
‎B08TZPS4QQ,"Western Digital 10TB WD Red Plus NAS Internal Hard Drive HDD - 7200 RPM, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5"" - WD101EFBX",Storage,S$367.67,https://www.amazon.sg/Western-Digital-10TB-Internal-Drive/dp/B08TZPS4QQ/ref=sr_1_6?qid=1695821467&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-6,https://www.amazon.sg/Western-Digital-10TB-Internal-Drive/product-reviews/B08TZPS4QQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.6,"['Bought 8 of them. So far so good', ""So far everything ok. Never tried the Red series, but I hope it's good."", ""Initially had some doubts due to the negative reviews of disk being dead on arrival.  Especially when I received all items packed in thin plastic.  The boxes are arranged side by side but can freely move on the plastic.  The hardisk on each box is secured firmly though by a hollow plastic. Fortunately, the DOA issue didn't happen to me.  I've order 3 pcs of 4TB and all are woking and no issue found after doing smartctl.  I registered as well on the WD website and it has a 3y out of region warranty as well.I'm planning to purchase another set but with bigger capacity again but still waiting for more discounted price."", 'Bought 6 disks in 2 orders, 3 in each order. However, one disk was unable to init, keeps making da-da-da sound. let other disks to run for a few days and return together if failed.', 'The WD 12TB harddrive works well. When compared to the Seagate 12TB ironwolf, it seems to be slightly thicker.', 'Reliable and worked with synology nas', 'fast delivery.proper packaging.item working well.', 'Like it, have proper pack for it', 'Product is good.', ""Doesn't come with cover so cannot use unless I buy the case cover""]"
‎B0BDXQ61Z9,"Western Digital 6TB WD Red Plus NAS Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, CMR, 256 MB Cache, 3.5"" -WD60EFPX",Storage,S$224.70,https://www.amazon.sg/Western-Digital-Plus-Internal-Drive/dp/B0BDXQ61Z9/ref=sr_1_7?qid=1695821467&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-7,https://www.amazon.sg/Western-Digital-Plus-Internal-Drive/product-reviews/B0BDXQ61Z9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.6,"[""19.7.2023:All disks here are still working normally. I think as long as they didn't die at the first a few months, they will last a few years.3/4/2023:I ordered 3 WD Red Plus 4TB this time, all passed scanning without any dead sectors. I bought total 9 WD Red Plus 4TB recently, only 1 DOA, other 8 disks are working without issues."", 'My review is more about the purchasing process than the product itself. I already had several of these drives in a ZFS RAID system where I had a failed drive. I noticed the failure shortly after 5 PM today. In a panic mode, I quickly came to Amazon and entered in the type of drive I needed to replace and the order was placed at 5:28 PM. It was said that it would be delivered between 4 AM and 8 AM tomorrow, but I was shocked when it arrived at 7:20 PM TONIGHT!!!. Thankfully, I was able to quickly change out the drive in my drive sled and tell my NAS to resilver. By 4 am, the time it was said to be arriving, the drive will have already resilvered and my array will be back up to full functionality.I have had this NAS system now for around 7 years now and this is the third WD Red drive to have failed. Considering the system is up 24/7, I guess some failures are destined to occur.', '-', ""C'est comme d'habitude, aucun soucis d'installation, de reconnaissance du PC et ça ne bouge pas. Le plus vieux à 10 ans, R.A.S. Je recommande ce produit et merci à AMAZON"", 'great', 'Installed in a USB3.0 case, very please with performance. Interested readers should look at a YouTube vid by Kore on how to make your own TimeMachine (for iOS).This is a CMR drive and, in my estimation, superior to a SMR drive. Look it up before you buy a drive.', 'Muy bueno', 'NASで使用しようと、CMRの当商品を購入。３年保証のように商品ページの写真に英語で記載されている。箱にも3年保証と記載あり。seagateのIronwolfも購入したが、Ironwolfは5年保証だった。どちらが、長持ちするか確認してみたい。', 'HDD è arrivato velocemente, ben imballato, controllato, nessun cluster rotto, molto soddisfatto', 'Ottimo HD molto silenzioso buone prestazioni.']"
‎B01M0AADIX,Seagate BarraCuda 5TB Internal Hard Drive HDD – 2.5 Inch SATA 6Gb/s 5400 RPM 128MB Cache for Computer Desktop PC (ST5000LM000),Storage,S$229.00,https://www.amazon.sg/Seagate-BarraCuda-Internal-Hard-Drive/dp/B01M0AADIX/ref=sr_1_8?qid=1695821467&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-8,https://www.amazon.sg/Seagate-BarraCuda-Internal-Hard-Drive/product-reviews/B01M0AADIX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.5,"['Fast shipping, Item as described and working. Satisfied with purchased.', 'good bang for the buck', ""Acheté pour ma Freebox Delta, une vraie tuerie en terme de vitesse de transfert.Aucun soucis depuis 4 mois; je prévois d'en acheter 3 autres identiques.Vendeur (LABOUTIQUEDUNET) très pro, appellent pour s’assurer de la bonne réception du colis, je recommande chaudement le produit et le vendeur !"", 'Die Festplatte verrichtet ihren Dienst ohne Probleme in meinem PC, sie ist schön leise und ausreichend schnell.Bin sehr zufrieden damit.', ""I've been using Seagate since the late 90s and they never fail to please. The introduction of the Barracuda line just adds finish to an already impressive quality. If these drives fail it's not because Seagate manufactured a faulty drive. It's because you did something to corrupt it. Trust me, I've gone through a few over the years and each time it's been user error. Can't say enough good things about these drives. They are just built to run fast and last a long, long time."", 'Coloquei no ps4, ate agora com 3 dias de uso , nada a reclamar', 'Um ano de uso sem nenhum problema! Recomendo!', 'Bought this as a D drive for my 17” Lenovo ideapad. Impressive.', 'Many thanks', 'Muy buen producto,Llego a tiempo']"
‎B083XVY99B,"Western Digital WD40EFAX NAS Hard Disk Drive, Red, 4TB",Storage,S$126.23,https://www.amazon.sg/Western-Digital-WD40EFAX-Hard-Drive/dp/B083XVY99B/ref=sr_1_9?qid=1695821467&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-9,https://www.amazon.sg/Western-Digital-WD40EFAX-Hard-Drive/product-reviews/B083XVY99B/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.5,"['fast delivery, works with synology ds220+', 'I ordered this drive to complement a 2 disk RAID system and expand its volume. It was ordered for next day delivery as I had an application filling up my NAS fast and was at risk of running out of space. The previous drives were WD Red 4TB drives and I wanted to match the drive type. I had two issues with the order:First delivery was not next day but almost a week later. Packaging was poor and the delivery had been repacked due to damaged packaging. The drive was shipped without padding, in just a plastic bag and it appears the drive was damaged due to poor packaging.The second issue is much more tricky and a big warning: Sometime this year WD changed its product line. They introduced a new WD Red drive which is this drive and is using SMR technology which is cheaper but online reports indicate it is not really suitable for this type of application. The old WD Red is renamed WD Red Plus, but online is still sold in most locations under the WD Red name. Even amazon has some EFRX drives which are Red Plus still sold as WD Red. My old drives I had are now effectively WD Red Plus and have part number WD40EFRX. I bought a new WD Red thinking it was the same drive, but it has a different part number WD40EFAX.It appears you can not mix a WD Red drive with a WD Red Plus drive in a Synology NAS. I receive errors (bad sectors / RW errors) on the new drive while the old 2 are ok. It might be damage from shipment but it might also be an incompatibility problem. I tried to do a full SMART test on the new drive, but after 4 days I aborted it as it had not completed -> this indicates a compatibility issues. I removed the WD Red drive and will discard it and have replaced it with a new WD Red Plus drive.When you buy this series of drives, you really need to check WD specs and select the correct drive based on part number. All EFRX drives are WD Red Plus, but the smaller EFAX drives are WD Red and the bigger EFAX drives are WD Red Plus. The really nasty thing is that all specs between WD Red and WD Red Plus drives are the same, but in real use in a NAS there is a huge difference. WD made a mess out of this.The reason I give it two stars and not one is the good Amazon support I received to resolve this.', 'I own 4 old WD RED 4TB hard drive using cmr for the past 4 years on my NAS. I bought 2 new WD RED to replace 2 of my old hard drive due to bad sector. I found out its completely unusable for my NAS. Why would they advertise as Nas hard drive when its not usable for NAS.I only found out after i read the review here but its too late. I have wasted my time and corrupted my NAS on this junk', ""WD has introduced a proprietary S.M.A.R.T. alternative that you can use in Synergy that is supposed to track the health of the drive in a more intelligent way. Unfortunately, it's been done in a very stupid way. After 3 years of runtime hours, a warning will pop up telling you to replace the drive. This would be fine, if it was dismissible, and if it did not override any other warnings and prevent you from seeing other warnings. 3 years of runtime hours on a NAS drive is nothing, and drives should be expected to run for at least 5 years. So you can see how this is an issue. It's a money grab from WD.Another issue is that WD has been sending out different drives under the Red branding, that are not actually reds, but instead are something else (i unfortunately cannot remember right now, a simple google will give you the info). I will probably keep buying WDs for my personal home server where I don't use Synergy since it's not a RAID (yet), but for any production environments please be aware of the issues."", 'Affidabile', 'Ottimo servizio del venditore,problemi sul prodotto comperato,ma risolto con il venditore perfettamente,sono stati molto gentili e cortesi veloci nelle operazioni da me richieste.grazie', 'Buon disco, durato circa 3 anni in ore di funzionamento su NAS in raid. Ne ho un altro uguale ancora perfetto dopo 3,5 anni', 'In meiner Synologie NAS war eine Platte defekt, die Platte wurde sofort erkannt, die NAS meldete zwar, dass der Hersteller und Typ nicht zertifiziert ist aber Größe und Form sind ja passend somit habe ich die Meldung kurzerhand weggeklickt. Meiner Meinung nach sind Platten verschiedener Hersteller und Chargen in einer NAS besser als alle von und aus einem', 'plug and play to the Synology NAS.', ""Je n'achète que des WD classique depuis plus de 20 ans et j'en ai toujours été ravis.Je me suis monté un NAS il y a 3 ans, et j'ai donc voulu tester les WD RED. Sur 2 disques achetés il y a 3 ans, l'un des 2 a lâché ... dommage pour moi, 3 mois après la fin de la garantie.Je suis donc passé sur des gold avec des garanties plus longues, car je trouve ça dommage qu'un disque RED peu sollicité comme le sont les miens lâche au bout de 3 ans alors que tous mes autres disque WD classique n'ont pas bougé depuis plusieurs années.""]"
‎B087QTVCHH,"Western Digital 4TB WD Blue PC Internal Hard Drive HDD - 5400 RPM, SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD40EZAZ",Storage,S$103.28,https://www.amazon.sg/Western-Digital-Blue-Internal-Drive/dp/B087QTVCHH/ref=sr_1_10?qid=1695821467&refinements=p_n_prime_domestic%3A7993547051%7C7993548051%2Cp_36%3A4000-60000&rnid=6450031051&s=electronics&sr=1-10,https://www.amazon.sg/Western-Digital-Blue-Internal-Drive/product-reviews/B087QTVCHH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.5,"['WD is my go to for storage, SSD or HDDThis HDD has a good price to storage ratio when I got it for my new pc', 'Ordered 28 Nov 2022 and received on 5 Dec 2022. Purchase during Black Friday discount. Very good price. Drive works as advertised. Using it as backup drive to my SDD.', ""The Western Digital 4TB WD Blue PC Hard Drive HDD arrived nicely packed and fast! Within 4-5 days from US to SG, order to doorstep.And I'm kinda surprised to see the minimal packing that still securely holds the HDD, protects it from the box edge with like a good one inch buffer throughout.One thing though, the HDD came in anti-static bag without box. So I am not sure if it is new or refurbed or what? But DiskInfo checks out right.So far so good. Needed a low cost per gigabyte storage solution. S$99.83 for 4TB or S$0.0249 per GB.Will serve my needs for the next 5 years?"", 'Fast and good performance and quality. Works silently well. Happy and satisfied. Good buy.', ""This is my first time buying hard disk drives from Amazon. I was worried it may not survive the shipment to Singapore since conventional hard disks have mechanical parts in them. Upon installing it, it works the first time and has zero issues after running some tests. I'm a happy customer!After using it for about 1 month, I bought the same WD hdd from Amazon!"", 'Fast delivery and the most economical HDD I have seen everywhere,  though not the budget range we are looking at as WD is one of the prestigious branding in hard drive industry. Of course. Trustworthy and strongly recommendable.', ""THIS IS SMR! Please do not mix this with WD40EZRZ which is CMR.The performance of this model is very bad and it's a short life drive, don't store any important data on this drive if you already bought it!"", 'Works amazingly. Was at good offer too.', ""Acheté pour remplacé un disque dur WD de 2T qui s'avérait bien rempli, ce 3T est bien installé et a redonné suffisamment d'espace libre pour fonctionner correctement. Je n'utilise plus que cette marque ( pour le stockage ) avec qui je n'ai eu aucun problème, contrairement à d'autres grandes marques dont les mêmes matériels sont tombés en panne, comme par hasard juste après le fin de garantie."", ""My Apple Airport drive failed after several years. I had been sitting on repairing it for a while and decided to replace the failed drive. I bought this drive and with a little bit of disassembly effort of the Airport unit, I was able to install this new drive and get it working. The most difficult and time consuming part was cutting down the little rubber spacers inside the Airport to hold the drive properly. That's not a drive problem, though.After installation and formatting it, my Apple Airport works 100% again. What this means is that if you're looking to replace your Apple Airport hard drive, this drive will work. However, expect to spend some time cutting and reshaping the Airport's rubber spacer inserts. Be very careful working with the very tiny cables inside of the Airport as they are quite fragile.""]"
