ASIN,Product,Category,Price,URL,Reviews URL,Stars,Reviews
‎B08C4WV6FT,Crucial RAM 16GB Kit (2x8GB) DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT2K8G4SFRA32A,RAM,S$48.72,https://www.amazon.sg/Crucial-3200MHz-2933MHz-2666MHz-CT2K8G4SFRA32A/dp/B08C4WV6FT/ref=sr_1_1?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-1,https://www.amazon.sg/Crucial-3200MHz-2933MHz-2666MHz-CT2K8G4SFRA32A/product-reviews/B08C4WV6FT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.8,"['It works like it suppose to be.', 'Testing working on both HP Probook 440 G7, and G8. Now I can open more large spreadsheets without worrying of hanging the Windows.', 'i have always used Crucial RAMs,  have never gave me problems.works as advertise.', 'I had bought Lenovo IdeaPad 3i and was hesitant as the Lenovo official site only mentions support up to additional 8Gig. But 16G card works well with the onboard soldered 8G to give total 24G memory.', 'The product was working well and i am very happy with it, but I would like to propose that the delivery personnel would at least knock on our door to tell us that he will be leaving our package at the doorstep. We even had people stationed at the location to receive the parcel. After leaving the package, there were no updates that it was delivered.', 'This is meant for an upgrade of a single dimm 8GB to a 16GBLaptop is working well so far', 'Works great with my 2020 iMac.No issues working with Apple pre installed Rams.I installed Apple Rams in slot 1 and 2 and Crucial Rams in slot 3 and 4 to achieve the maximum speed.', 'The package came as described and in bubble wrap. Thanks for the fast delivery too.', 'It was delivered within the delivery date range and has been working properly.', 'Excellent, would buy again from same supplier.']"
‎B08SQRF8MJ,"Corsair CS-CMH32GX4M2D3600C18W Vengeance RGB PRO SL 32GB (2x16GB) DDR4 3600Mhz C18 Memory Kit, White",RAM,S$260.06,https://www.amazon.sg/Corsair-CS-CMH32GX4M2D3600C18W-Vengeance-2x16GB-3600Mhz/dp/B08SQRF8MJ/ref=sr_1_2?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-2,https://www.amazon.sg/Corsair-CS-CMH32GX4M2D3600C18W-Vengeance-2x16GB-3600Mhz/product-reviews/B08SQRF8MJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.8,"['A bit chonky and might be trickier to put in a small motherboard but other than that works well', 'First, got disappointed that the delivery was late one day. But disappointment gone when product arrived and installed.. however, i think its very unexpected to see a 32gb kit that is single rank.. i dont know what to say.. thought all single 16gb rams and onwards are dual rank alrdy..', 'Return as it didn\'t clock up to 3600mhz as advertised. Whenever I add in the 4th memory stick with XMP 2.0 3600mhz, the PC (Ryzen 9 5900X, TUF B550M WIFI MB, RTX 3090) will not post. I need to downgrade the clock speed to 3200mhz to get a stable boot and post. Swapped to another motherboard (ASUS Prime B550M) but still the same issue with using the 4th RAM stick. Hence decided to return the RAM.Note to Amazon SG: Please do not use Janio as your return courier. The staff that came to collect the RAM was very picky and ask for ""Original Amazon Box"" which I\'ve already threw away. Then he also require the printed label even when I told him ""I don\'t have a printer"". He was also extremely very rude.', ""Ordered this memory kit and got delivered within a day and this saves my day, it's totally compatible with ryzen 5 cpu and it's gorgeous 😍"", 'Items received in good condition. Delivery is prompt and fast also!', 'Fast delivery and well packaged.', 'Come appassionato di informatica, ho acquistato le Corsair Memoria desktop VENGEANCE RGB PRO SL 16 GB (2 x 8 GB) DDR4 3600 (PC4-28800) C18 1,35 V in bianco nero per migliorare le prestazioni del mio sistema. Queste RAM si sono rivelate un’ottima scelta in termini di dimensioni compatte e potenza di elaborazione.Le RAM Corsair VENGEANCE RGB PRO SL sono caratterizzate da un design elegante e moderno, che si adatta perfettamente al mio setup. L’illuminazione RGB personalizzabile aggiunge un tocco di stile e la possibilità di sincronizzarle con altri componenti RGB del mio PC.Dal punto di vista delle prestazioni, queste RAM si sono dimostrate davvero potenti. La velocità di clock di 3600 MHz e la latenza C18 garantiscono una risposta rapida e un’elaborazione efficiente dei dati. Ho notato un notevole aumento delle prestazioni del sistema, sia durante l’esecuzione di applicazioni complesse che nel gaming. Il multitasking è diventato fluido e senza intoppi.Desidero anche sottolineare l’eccellente supporto clienti offerto da Amazon. Purtroppo, il mio pacco è andato smarrito durante la spedizione, ma il servizio di assistenza di Amazon è stato estremamente reattivo ed efficiente nel risolvere il problema. Mi hanno fornito aggiornamenti tempestivi sullo stato della spedizione e hanno provveduto alla sostituzione del pacco smarrito senza alcuna complicazione. Sono rimasto molto soddisfatto dell’attenzione dedicata al cliente e della risoluzione rapida del problema.In conclusione, le Corsair Memoria desktop VENGEANCE RGB PRO SL 16 GB (2 x 8 GB) DDR4 3600 (PC4-28800) C18 1,35 V in bianco nero sono RAM eccellenti per gli appassionati di informatica che cercano prestazioni potenti in un formato compatto. Il loro design accattivante si abbina perfettamente a un setup estetico. Inoltre, l’assistenza clienti di Amazon è stata di prim’ordine, dimostrando un impegno costante nel soddisfare le esigenze dei clienti. Meritano senza dubbio 5 stelle.', 'Ich habe mir kürzlich das Corsair VENGEANCE RGB PRO SL 32GB DDR4 3600 in Weiß zugelegt und bin wirklich beeindruckt.Leistung: 5/5 SterneMit 3600 MHz Geschwindigkeit ist er super schnell und hat die Leistung meines PCs erheblich verbessert, vor allem beim Gaming.RGB-Beleuchtung: 5/5 SterneDie RGB-Beleuchtung ist fantastisch und die Anpassungsmöglichkeiten sind klasse. Mit der Corsair iCUE-Software kann ich die Beleuchtung nach meinem Geschmack anpassen.Qualität und Zuverlässigkeit: 5/5 SterneCorsair ist für Qualität bekannt, und dieser RAM ist keine Ausnahme. Er läuft stabil ohne Probleme.Fazit:Der Corsair VENGEANCE RGB PRO SL 32GB DDR4 3600 ist leistungsstark und die RGB-Beleuchtung verleiht meinem PC einen coolen Look. Wenn du deinen PC upgraden möchtest, wäre der RAM eine überlegung wert.', ""So far, it's been running great and looks very cool. I don't mess around much with software to change the light modes or stuff like that, pretty much use them on default settings because it blends well with my overall desktop set-up so no need for that and what I really need them to do, they do really well. I can edit music, images and videos and the occasional gaming with no problem whatsoever, everything runs smoothly!"", ""upgraded my computer's memory with two sticks of RAM, and it has significantly improved my system's performance. Below, I will outline the pros and cons of these RAM sticks based on my personal experience:Pros:  Impressive 32GB Capacity: The inclusion of two 16GB RAM sticks has provided a substantial boost to my computer's memory capacity. With a total of 32GB, I can comfortably run memory-intensive applications, multitask effortlessly, and handle demanding tasks such as video editing, 3D rendering, and gaming without experiencing any slowdowns.  Aesthetic Enhancement for an All White Build: These RAM sticks perfectly complemented my all white computer build, adding a touch of elegance and sophistication to the overall aesthetics. The clean and sleek design effortlessly integrates with the color scheme, creating a visually appealing setup.  Vibrant and Eye-Catching Colors: The vibrant colors of the RAM sticks enhance the visual appeal of the interior components. Whether it's the heat spreaders or the LED lighting, the colors add a dynamic and captivating element to the overall look of the system. It's a delightful sight that adds personality to the build.  Easy Installation: Installing these RAM sticks was a breeze. The sticks fit seamlessly into the RAM slots on my motherboard, and the installation process was straightforward. The user-friendly design ensures that even those with limited technical knowledge can successfully upgrade their system's memory.Cons:  Higher Price Tag: While these RAM sticks offer excellent performance and aesthetic appeal, they may not be the most budget-friendly option on the market. The advanced features, larger capacity, and eye-catching design contribute to a higher price point compared to more basic RAM options. However, the enhanced performance and visual impact may justify the investment for those seeking a high-quality and visually pleasing upgrade.In summary, the two sticks of RAM provide a substantial boost to your computer's memory capacity, allowing for smooth multitasking and seamless performance, especially for resource-intensive tasks. The stylish design and vibrant colors enhance the visual appeal of your system, particularly in an all white build. The easy installation process ensures a hassle-free upgrade experience. However, it's worth noting that these RAM sticks come with a higher price tag compared to more basic options. If you prioritize performance, aesthetics, and are willing to invest in a premium RAM upgrade, these sticks are a fantastic choice for taking your system to the next level.""]"
‎B07RDQ1FCB,"CORSAIR CMSX32GX4M2A3000C18 Computer Memory, ddr4, 2 x 16GB",RAM,S$109.02,https://www.amazon.sg/CORSAIR-CMSX32GX4M2A3000C18-Computer-Memory-ddr4/dp/B07RDQ1FCB/ref=sr_1_3?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-3,https://www.amazon.sg/CORSAIR-CMSX32GX4M2A3000C18-Computer-Memory-ddr4/product-reviews/B07RDQ1FCB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.8,"['as expected. works like a charm', 'Update on 22 Sep 20:As advised by JC in the QnA section, I contacted Amazon. And within 1 hour, received reply from Amazon on the replacement.And within 24 hours after the email from Amazon, I have received my replacement set...Unfortunately... again, 1 out of 4 stick is defective.Maybe you may question why I can confirm the 1 out of 4 is defective?The answer is because the 3 out of 4 are running good, in the same laptop (HP Probook 440 G7).Finally, Amazon give me 2 options:- full refund, or- partial refund for the defective piece of RAM.Raise the review from 3 star to 4 star because of the good support from Amazon.Speedy delivery.Install to my HP Probook 440 G7 (2 slots).There were some hiccup.Insert 2 out of 4 x16Gb into the 2 slots of my probook, but no sound no picture... really black screen at all.Named as RAM no. 46 and no.47Insert another 2 RAM (named as no.41 and no.42).Still no sound no picture..Insert back the original RAM. Boot in Win10 no problem.Troubleshoot 1:Slot 1: original RAMSlot 2: RAM no.41It takes longer time, but it manage successfully boot in Win10.Run CPUZ to check and seems ok.Running at 1333mhz (or 2666mhz), CL18.Good RAMTroubleshoot 2,3,4:Slot 1: original RAMSlot 2: RAM no. 42, 46, 47Found out that RAM 46 is defective.Troubleshoot 5:Slot 1: no.41Slot 2: no.42No picture, but this time got very loud Beep Beep Beep.Troubleshoot 6: (successful)Slot 1: no.42 (please note that i swab no.42 from slot 2 to slot 1 this time)Slot 2: no.41 (please note that i swab no.41 from slot 1 to slot 2 this time)Again, take a bit longer time, but finally manage to boot in Win10 successfully.Lastly, not sure how to contact Amazon related this issue?I don’t want to return the whole package as I bought them in really good price.Or should I contact Corsair? But still finding how to contact Corsair..', 'Great price for RAM, fast action arrived the next day, great for my new intel NUC', 'Great product and fast delivery.Life guarantee.', 'Delivery time was amazing! Prime Delivery gave me a date, and they delivered at an earlier timing! Product was well packaged and all new! Thanks!', 'Tested in many laptops and Mac, so far stability is excellent and passed memtest without any issues.Highly recommended for a fuss-free SODIMM non ECC DDR4 RAM.', 'Today I received the 32GB (2x16GB) module and installed it into my ThinkPad X1 Extreme Gen 2. It works very well. The performance s great. GeekBench scores are 5898 for Single-Core, and 25892 for Multi-Core.', 'Received a faulty product. But Amazon support gave me a new replacement with no questions asked. Peace of mind shopping on Amazon as always.', 'Well, it works upon installing onto the laptop without issues. Delivery came the next day!', 'Got my package and installed work very well.']"
‎B07D5SDT6M,CORSAIR VENGEANCE RGB PRO 32GB (4x8GB) DDR4 3600MHz C18 LED Desktop Memory - White,RAM,S$119.98,https://www.amazon.sg/CORSAIR-VENGEANCE-3600MHz-Desktop-Memory/dp/B07D5SDT6M/ref=sr_1_4?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-4,https://www.amazon.sg/CORSAIR-VENGEANCE-3600MHz-Desktop-Memory/product-reviews/B07D5SDT6M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.8,"['Nothing much to say about this product. As long as you have done your homework on ram compatibility, speed and timing, you should not have any issues with it. Price is reasonable and most impressively its the next day delivery. Awesome!', 'Quick delivery. Ordered on Fri night and delivered on Monday. Hope ninjavan can keep it up.Ninjavan should omit the update of their ""failed delivery at which hour"" in tracking as it may cause concern to the buyer. Just update as ""In Progress"" and expected delivery time is good enough, but of course on time delivery as promised is still expected.RAMs are nicely packed in original sealed box. Most importantly both ram work flawlessly upon powerup. LED lighting is nice. Updated as 3000MHz after enabling (select profile) DOCP in BIOS.', 'corsair masterrace', 'Received it in perfect working condition. The RGB lights are also very bright and can be adjusted with iCUE.', 'White privilege', 'Good', '', 'Working fine and good. Came with good packaging', 'Ram looks good and works well. Note that MSI Mystic Light does not detect it for now and you have to use iCue to change the rgb lighting settings.', 'Thank you amazon. Order yersterday night, I received today. Very fast. Highly recommended. Thank you amazon.']"
‎B083TRRT16,Crucial Ballistix 3200 MHz DDR4 DRAM Desktop Gaming Memory Kit 16GB (8GBx2) CL16 BL2K8G32C16U4B (Black),RAM,S$161.88,https://www.amazon.sg/Crucial-Ballistix-Desktop-Gaming-BL2K8G32C16U4B/dp/B083TRRT16/ref=sr_1_5?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-5,https://www.amazon.sg/Crucial-Ballistix-Desktop-Gaming-BL2K8G32C16U4B/product-reviews/B083TRRT16/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.8,"['Perfect product, nothing to complain about. Booted XMP to 4400m transfers no issue. Packaging appropriate for small item, received in very good condition.', 'This first gaming memory i see which refuse to overclocking even one step to 3700, whatever i tried to do. Although on basic frequency timings can be easily tightened to 15-16-16-36, and it works very stable.', ""Don't expect to overclock it much I tried the 14-16-16 and it crashes sooooooo, it works on 3200Mhz"", 'item works as supposed. simple plug and play. quality product.', 'Item arrived quickly and it was cheaper than retail stores. Installed on a Z490 board with i5 10400F and worked well. No issues with the boot and it was at its advetised speed.', 'As shown in picture, packaging arrived with part of the flap open. It still seems to be BNIB and this is probably an issue with the box design.', 'Just received the product, im satisfied but the package looks scuffed. Might be wear and tear, might be delivery damage or it might be used. I would never know. Packaging is important', ""Like: the white color, it works as intended, there's some room for further overclockingDislike: it's a bit expensive but all RAM is right now."", ""Product arrived in new condition and as ordered. It ran with no issues is a much needed upgrade from my 2666MHz sticks. Have heard that these are easily OC'd to 3600MHz, despite the XMP being 3200MHz."", 'Received it early! And no stability issues when running it at the rated Clock speed & latency paired with Ryzen 5900X on Asus X570-E Gaming mobo.']"
‎B095PSKNS3,Mmoment 16GB DDR4 3200MHz UDIMM PC4-25600 1.35V CL16 Non-ECC Unbuffered 288-Pin (1Rx8 /Single Rank Base on 2Gx8) PC Computer Desktop Memory Upgrade Module,RAM,S$59.99,https://www.amazon.sg/Mmoment-3200MHz-PC4-25600-Unbuffered-Computer/dp/B095PSKNS3/ref=sr_1_6?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-6,https://www.amazon.sg/Mmoment-3200MHz-PC4-25600-Unbuffered-Computer/product-reviews/B095PSKNS3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.2,['inspiron3910の増設用として購入したが一ヶ月半で壊れました。返品期間が１ヶ月だったので残念。']
‎B07RM39V5F,"Corsair CMK16GX4M2D3600C18 Vengeance LPX 16GB (2 x 8GB) DDR4 DRAM 3600MHz C18 Memory Kit, Black",RAM,S$52.02,https://www.amazon.sg/Corsair-CMK16GX4M2D3600C18-Vengeance-3600MHz-Memory/dp/B07RM39V5F/ref=sr_1_7?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-7,https://www.amazon.sg/Corsair-CMK16GX4M2D3600C18-Vengeance-3600MHz-Memory/product-reviews/B07RM39V5F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.8,"['bought this to upgrade my existing PC. plug in and works immediately with the current set up. hassle free', 'This RAM is probably the most well-priced for the speed and capacity it offers, especially coming from a reputable brand. The small size also makes it compatible with my CPU cooler. Bought it last time and will definitely buy again if I need an upgrade.', 'Good value for the price', 'Item came in complete packaging, and worked the moment I plugged the pair of RAM modules onto my motherboard!', 'No problem since installation. Remember to set XMP in BIOS to utilise the 3600MHz', 'Works as described. XMP OC to 3600 MHz without issues.', 'Great product, works as expected and delivery was quick', 'Works well and received very quickly.', 'Product came fast and is working as expected', 'Solid RAM']"
‎B07ZPLM1R1,"CORSAIR CMK32GX4M2D3600C18 Vengeance LPX 32GB (2 x 16GB) DDR4 DRAM Memory Kit, Black, 32GB Kit (4 x 8GB)",RAM,S$61.90,https://www.amazon.sg/CORSAIR-CMK32GX4M2D3600C18-Vengeance-Memory-Black/dp/B07ZPLM1R1/ref=sr_1_8?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-8,https://www.amazon.sg/CORSAIR-CMK32GX4M2D3600C18-Vengeance-Memory-Black/product-reviews/B07ZPLM1R1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.8,"['I have been using corsair for a long time and this model is the best one yet', 'Bought the 32GB set for my new build. Low profile heat sink certainly help with the small space that ITX case has!', 'Got a kit of 3600 C18 2x16GB RAM and the first day I used it, it BSoD and the orange DRAM light on the motherboard lit up and the system refused to post. I sent the motherboard and CPU I had, ASUS TUF B550M PLUS WIFI II & Ryzen 5 5600, back to the shop to test for problems but the motherboard and CPU worked without problems! This proved that these stick of RAM was at fault, so I am returning these.', ""Ram Corsair Vengeance Lpx Ddr4-Ram 3600Mhz 2X16Gb CL18.Voglio sottolineare che una 3600MHz CL18 e una 3200MHz CL16, sono identiche, stessa latency.Non mi è mai servito più di 16GB di ram, fino a quando non ho scoperto Stable Diffusion, e la ram non mi bastava più.Ho visto subito la differenza aumentandola.Un processo molto pesante su 16GB di ram impiegava 22 minuti, con i 32GB di ram s'è ridotto a 17 minuti.La mia RTX ha solo 6GB di vram ma in qualunque caso serve la ram di sistema per far girare tutto, e solo Python se ne prende oltre 7GB.Stable Diffusion ha bisogno di 32GB, altrimenti si è limitatissimi.La ram della Corsair è ottima, appena installata, riconosciuta in automatico a 3600MHz.In precedenza avevo una G-Skill da 3000MHz che dovevo tenere a 2933MHz perchè altrimenti non reggeva e mi crashava il sistema.Ricordo che la G-skill la pagai 150 in 2x8GB, ed era il prezzo più vantaggioso in quel momento...La prossima mobo avrà almeno 64GB, ma per il momento la vecchia rig va ancora ottimamente.Corsair Vengeance, ora sceglierò sempre queste."", ""The Corsair VENGEANCE LPX DDR4 RAM 32GB kit is a solid choice for anyone looking to upgrade their system's memory.Reliable Performance:This RAM kit does exactly what RAM is supposed to do - it provides reliable and fast memory performance. With 32GB of memory and a 3600MHz speed, it's perfect for handling multitasking and demanding applications.Easy Installation:Installing this RAM was a breeze. The design and build quality are top-notch, and it fit perfectly into my motherboard without any issues.Boosted Gaming and Performance:With this upgraded RAM, my system's overall performance has noticeably improved. Gaming sessions are smoother, and multitasking feels much more fluid.Corsair Quality Assurance:Corsair is known for producing quality computer components, and this RAM kit lives up to their reputation. It feels sturdy and dependable, giving me confidence in its long-term performance.Heat Spreader Design:The VENGEANCE LPX comes with a sleek heat spreader design that not only looks cool but also helps keep the RAM cool during heavy usage.Great Deal for the Price:Considering the performance and brand reputation, this RAM kit offers a great deal for its price. It competes well with higher-priced options without breaking the bank.Ideal for Gaming and Content Creation:If you're a gamer or content creator, this 32GB kit is an excellent investment. It provides the extra memory needed to handle resource-intensive tasks without any hiccups.Final Verdict:In conclusion, the Corsair VENGEANCE LPX DDR4 RAM 32GB (2x16GB) 3600MHz delivers solid performance and gets the job done without any fuss. If you're looking for reliable and fast RAM to boost your system's performance, this kit is a great choice. It's a dependable option for both gamers and content creators alike. When it comes to value for money, the Corsair VENGEANCE LPX DDR4 RAM 32GB kit is a winner, offering a great deal for its impressive performance. I'm pleased with my purchase, and I highly recommend it to anyone in need of an RAM upgrade."", ""Petit erreur a la commande mais tres vite reglé par amazon.Les 16go c'est bien mais les 32go sont mieux si comme moi vous avez pour habitude de regarder des video/strem sur le coté. Également plus de ram vous permer de reduire légèrement un bottleneck cpuApres c'est du corsair RAS."", ""I'm usually fairly good at picking parts and ensuring that clearance won't be an issue, however in this instance, I didn't feel comfortable with the setup.Case: NZXT H510 FlowMobo: MAG z690 Tomahawk WiFi DDR4CPU Cooler: AK620 Zero DarkOriginally I'd gone with the Corsair Vengeance RGB Pro 32GB (16x2) kit. Installing everything the tempered side panel would close, but only just. With one cpu cooler fan having to be positioned above the Vengeance stick, it made it rise a millimeter or two so closing the tempered panel made it pretty much flush, if not push a bit, that fan.Though it may have been alright like that, I didn't like it so opted instead for this kit and shaved off more than enough mm's with it so that wouldn't be the case.I should have done more research, but sometimes even with that, things don't always work. However, this ram is solid. I've used Corsair for many years as many others I'm sure and am confident it'll last as long as I have the rig."", 'La DDR4 32gb 3600 MHz è stata presa per aumentare la vecchia RAM da 16gb che purtroppo è andata fuori produzione. Comunque una volta montata su scheda madre Amd b550 dopo pochi secondi è stata riconosciuta e funziona bene. Con 32gb Windows 10 è sicuramente più veloce.', ""L'unico problema che ho avuto è che una delle 2 all'inizio non ne voleva sapere di impostarsi a 3600 mhz. Cambiandole slot nella scheda madre ho risolto."", ""I bought this kit to bring my existing 32GB kit up to 64GB.  It's been a year or two between purchases, but the brand and model number are the same.  That's about as close as I can get in terms of compatibility.  The manufacturers say your ram should ALL be from the same kit because even if the model numbers are the same there could be differences.  Corsair even replaced ALL my ram that was comprised of two kits once because they were so insistent that it all be from the same batch.  That one time I had to RMA ram though Corsair, they were amazingly helpful.  Personally I haven't had trouble yet mixing Corsair ram kits or singles.I have it clocked to 3600MHz (XMP).  I tested the ram with Memtest86 (Passmark) for four passes (7.5 hours) and it found no errors.These LPX kits are my favorite.  With one of the lowest profiles available (34mm) with heat spreaders, they fit right under my NH-D15 chromax cooler without even having to raise the fan.I don't understand why the product description says they are iCue Compatible.  They don't have RGB.  It's not worth mentioning iCue in relation to LPX line of products.""]"
‎B0143UM4TC,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz (PC4-25600) C16 Memory Kit - Black,RAM,S$44.54,https://www.amazon.sg/Corsair-Vengeance-3200MHz-PC4-25600-Memory/dp/B0143UM4TC/ref=sr_1_9?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-9,https://www.amazon.sg/Corsair-Vengeance-3200MHz-PC4-25600-Memory/product-reviews/B0143UM4TC/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.7,"['Thanks seller will purchase again', ""I got this for lightning deal  but also because the 3200mhz models were out of stock or had to wait for shipping and I didn’t want to waste time  .However, I should have done More research on it for  my Ryzen 5 3600 system, As ( for my case) I couldn’t get its xmp profile to work stably at Exactly Full 3000mhz  on My b450m motherboard steel legend ( it might occasionally cause bios Settings reset on boot ) and had to dial it back down to 2933mhz. Seems certain  Am4 motherboards might  prefer specific MHz values that they listed, also do note I couldn’t  not find this model of  ram on the  QVL ( qualified vendor list) on ASRock website of my motherboard , so I should  had bought it knowing the full risk it might it work exactly out of the box but at least it worked  according to speed ( at least at 2933mhz on my system ) after I  enabled  XMP and tweak settings down if needed be.In the end i had to buy another set of RAM because I realised Ryzen/AMD can be rather picky with RAM and it's better to pick a RAM that is under QVL."", 'These are the good ol Samsung B-die v4.31 and runs perfectly at 4000mhz CL16 in my MSI X570S Tomahawk Max Wifi mobo using XMP profile. Although stated as tweaked for Intel XMP, the AM4 mobo accepted it running at 4000mhz CL16 without any issues.', 'Upgraded from Corsair Vengeance LPX 8GB (2x4GB) DDR4 DRAM 2400MHz to this (Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz). Working well as described without fuss or big issues. Only thing I noticed is for my previous RAM, BIOS automatically reflected and run at the high freq of 2400Mhz. For this RAM, putting BIOS to auto will only be running it at 2133MHz. Will need to manually set it to run 3200MHz.', 'Make my PC get second wind!', 'Got 2x 8gb sticks a while ago that were not used for over a year...1 of the sticks stopped working or might never have worked. This one replaced it without issue', 'Runs well with 13600kno issues running at 4000mhz cl16', 'Affordable and very easy to install. Faced no clearance issue even with my bulky cpu tower cooler.', 'Bought this to double my RAM and clear my memory bottleneck. Does its job. My only comment is the delivery should have at least ring the doorbell or give me a call before leaving a $80+ item between the door and the gate.', 'I started with 2 sets of Quad-channel (4GBx4) 3000-CL15 DDR4. I moved to 8GBx2 and then to 16GB x2. All running at XMP setting and never regretted any of it (all of the same model for compatibility). I can mix different sizes per channel and no compatibility issues. The Quad-channel gives so much bandwidth that I do not need to worry about bottlenecks or using higher speed RAMs. Perhaps the next upgrade is to use higher speed ones at Quad Channel with a high 4.5ghz multi-core CPU. Right now, the performance for both games and file transfer is amazing!']"
‎B006YG8X9Y,"Crucial CT102464BF160B DRAM Module, 8GB",RAM,S$33.70,https://www.amazon.sg/Crucial-CT102464BF160B-DRAM-Module-8GB/dp/B006YG8X9Y/ref=sr_1_10?qid=1695792127&refinements=p_n_prime_domestic%3A7993547051&s=electronics&sr=1-10,https://www.amazon.sg/Crucial-CT102464BF160B-DRAM-Module-8GB/product-reviews/B006YG8X9Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.7,"['Quality product. No issues.', 'Parcel arrived early ahead of schedule. My MBP mid 2012 RAM upgrade is successful. No issues and performance is now better. The machine automatically detected the new RAMS. Good value for money. Can’t ask any better for an 8 year old machine! Now my kids can use it for their Online homeworks.', 'The RAM was good quality as expected from Crucial. Original RAM. Made in Malaysia.', 'Item is delivered on time and in good condition. Upgraded my laptop memory and works without any problems. Very satistfied with it.', 'The delivery is timely and the products received are in good condition.', 'Bought 2 sticks for an old Lenovo T430 laptop. No issues with them after a month. Trusted brand.', 'Received the product in a couple of days!! Great turn around, and happy with the product!!!', 'Item received in good condition', 'As if I am having super fast laptop after upgraded memory.', 'My raptop become good condition. (faster)']"
